year,asx200_close,asx200_yoy,cpi_index_dec,cpi_yoy_dec,cpi_index_avg,cpi_yoy_avg,cash_rate_avg,cash_rate_eoy,cash_rate_change_avg,cash_rate_change_eoy
1990,,,59.0,,57.45,,13.402000000000001,12.58,,
1991,,,59.9,0.015254237288135464,59.275,0.03176675369886861,10.518333333333333,8.5,-2.8836666666666684,-4.08
1992,1564.699951171875,,60.1,0.0033388981636059967,59.875,0.010122311261071326,6.4991666666666665,5.75,-4.019166666666666,-2.75
1993,2113.60009765625,0.3508021752498163,61.2,0.01830282861896837,60.925,0.01753653444676395,5.1525,4.75,-1.3466666666666667,-1.0
1994,1857.4000244140625,-0.12121501769719123,62.8,0.02614379084967311,62.125,0.019696347968814143,5.266666666666667,7.05,0.11416666666666675,2.3
1995,2154.89990234375,0.16017006246327425,66.0,0.05095541401273884,65.0,0.046277665995975825,7.5,7.5,2.2333333333333334,0.4500000000000002
1996,2367.800048828125,0.09879816053303303,67.0,0.015151515151515138,66.7,0.026153846153846194,7.185833333333334,6.18,-0.31416666666666604,-1.3200000000000003
1997,2567.39990234375,0.08429759667181824,66.8,-0.0029850746268657025,66.85,0.002248875562218755,5.484999999999999,5.0,-1.7008333333333345,-1.1799999999999997
1998,2717.60009765625,0.05850284374295711,67.8,0.014970059880239583,67.425,0.0086013462976815,4.9799999999999995,4.76,-0.5049999999999999,-0.2400000000000002
1999,3117.699951171875,0.14722543388951315,69.1,0.019174041297935096,68.425,0.014831294030404063,4.79,5.0,-0.1899999999999995,0.2400000000000002
2000,3206.199951171875,0.028386310865718523,73.1,0.05788712011577424,71.475,0.04457435147972233,5.91,6.25,1.12,1.25
2001,3422.300048828125,0.06740069270391724,75.4,0.03146374829001375,74.625,0.044071353620146914,5.065833333333333,4.28,-0.8441666666666672,-1.9699999999999998
2002,3007.10009765625,-0.12132190200974613,77.6,0.029177718832890998,76.85,0.02981574539363474,4.555833333333333,4.75,-0.5099999999999998,0.46999999999999975
2003,3299.800048828125,0.09733628468171274,79.5,0.024484536082474362,78.94999999999999,0.02732595966167861,4.809166666666667,5.23,0.25333333333333385,0.4800000000000004
2004,4050.60009765625,0.22752895257843297,81.5,0.02515723270440251,80.8,0.023432552248258576,5.25,5.25,0.44083333333333297,0.019999999999999574
2005,4763.39990234375,0.17597387732744552,83.8,0.02822085889570558,82.975,0.02691831683168311,5.4575,5.5,0.20749999999999957,0.25
2006,5669.89990234375,0.19030524805485505,86.6,0.03341288782816232,85.925,0.03555287737270274,5.805,6.25,0.34750000000000014,0.75
2007,6339.7998046875,0.1181502167378361,89.1,0.02886836027713624,87.925,0.023276112889147438,6.3875,6.75,0.5825000000000005,0.5
2008,3722.300048828125,-0.4128678880244857,92.4,0.0370370370370372,91.75,0.043502985499004776,6.671666666666667,4.35,0.2841666666666667,-2.4000000000000004
2009,4870.60009765625,0.30849207043092597,94.3,0.02056277056277045,93.375,0.017711171662125436,3.2783333333333338,3.74,-3.393333333333333,-0.6099999999999994
2010,4745.2001953125,-0.025746294056063657,96.9,0.02757158006362692,96.1,0.02918340026773758,4.346666666666667,4.75,1.068333333333333,1.0099999999999998
2011,4056.60009765625,-0.145115078250329,99.8,0.029927760577915352,99.275,0.03303850156087429,4.6925,4.3,0.3458333333333332,-0.4500000000000002
2012,4649.0,0.14603359662837256,102.0,0.02204408817635284,101.025,0.0176278015613196,3.6966666666666668,3.03,-0.9958333333333331,-1.27
2013,5352.2001953125,0.1512583771375564,104.8,0.027450980392156765,103.5,0.024498886414253906,2.7375000000000003,2.5,-0.9591666666666665,-0.5299999999999998
2014,5411.0,0.01098609964907471,106.6,0.01717557251908386,106.075,0.024879227053140163,2.5,2.5,-0.23750000000000027,0.0
2015,5295.89990234375,-0.021271502061772307,108.4,0.016885553470919357,107.675,0.015083667216591934,2.11,2.0,-0.3900000000000001,-0.5
2016,5665.7998046875,0.0698464678647055,110.0,0.014760147601476037,109.05,0.012769909449732886,1.7325,1.5,-0.37749999999999995,-0.5
2017,6065.10009765625,0.07047553862358424,112.1,0.019090909090909047,111.175,0.019486474094452033,1.5,1.5,-0.23249999999999993,0.0
2018,5646.39990234375,-0.06903434214948889,114.1,0.017841213202497874,113.3,0.019114009444569424,1.5,1.5,0.0,0.0
2019,6684.10009765625,0.18378085386438237,116.2,0.01840490797546024,115.125,0.016107678729037955,1.1716666666666666,0.75,-0.32833333333333337,-0.75
2020,6587.10009765625,-0.014512050774645457,117.2,0.008605851979345935,116.1,0.008469055374592749,0.32416666666666666,0.1,-0.8474999999999999,-0.65
2021,7444.60009765625,0.13017868064660298,121.3,0.03498293515358353,119.425,0.028639104220499645,0.10000000000000002,0.1,-0.22416666666666663,0.0
2022,7038.7001953125,-0.054522727482909095,130.8,0.07831821929101412,127.30000000000001,0.06594096713418485,1.2725,3.05,1.1724999999999999,2.9499999999999997
2023,7590.7998046875,0.07843772203036536,136.1,0.040519877675840865,134.425,0.05597014925373123,3.870833333333333,4.35,2.598333333333333,1.2999999999999998
2024,8159.10009765625,0.074866984717185,139.4,0.024246877296105973,138.675,0.03161614283057457,4.35,4.35,0.4791666666666665,0.0
2025,8787.7001953125,0.07704282214123337,141.7,0.016499282639885093,141.2,0.018208040382188484,4.02625,3.7,-0.32374999999999954,-0.6499999999999995
