streetAddress,suburb,state,postcode,propertyType,bed,bath,car,landSizeM2,floorSizeM2,yearBuilt,salePrice,saleDate,saleType,agency,landUse,developmentZone,parcelDetails,ownerType,openInRpdata,sourceFile,agencyBrand,saleYear,saleMonth,saleYearMonth,street,month_id,saleMonth_sin,saleMonth_cos,suburb_price_median_current,count,std,suburb_price_median_3m,suburb_price_median_6m,suburb_price_median_12m,suburb_txn_count_3m,suburb_txn_count_6m,suburb_txn_count_12m,suburb_volatility_3m,suburb_volatility_6m,suburb_volatility_12m,suburb_delta_3m,suburb_delta_12m,suburb_house_price_median_current,suburb_house_txn_count_current,suburb_house_volatility_current,suburb_house_price_median_3m,suburb_house_price_median_6m,suburb_house_price_median_12m,suburb_house_txn_count_3m,suburb_house_txn_count_6m,suburb_house_txn_count_12m,suburb_house_volatility_3m,suburb_house_volatility_6m,suburb_house_volatility_12m,suburb_house_delta_3m,suburb_house_delta_12m,suburb_other_price_median_current,suburb_other_txn_count_current,suburb_other_volatility_current,suburb_other_price_median_3m,suburb_other_price_median_6m,suburb_other_price_median_12m,suburb_other_txn_count_3m,suburb_other_txn_count_6m,suburb_other_txn_count_12m,suburb_other_volatility_3m,suburb_other_volatility_6m,suburb_other_volatility_12m,suburb_other_delta_3m,suburb_other_delta_12m,rel_price_vs_suburb_median,rel_street_effect,propertyAge,propertyAgeBand
8A SIMPSON STREET,MITCHAM,VIC,3132,Other,3.0,2.0,2.0,377.0,128.0,1980.0,795000.0,2024-05-28,Unknown,Unknown,Detached Dwelling,Unknown,2/PS910717,Unknown,https://rpp.corelogic.com.au/property/8a-simpson-street-mitcham-vic-3132/52149496,propertyExport_20250901115240.csv,Other,2024,5,202405,Simpson Street,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,0.8316873943390858,1.2311373976488431,44.0,21+
4/15 HARRISON STREET,MITCHAM,VIC,3132,UNIT,3.0,1.0,2.0,381.0,105.0,1980.0,916200.0,2024-05-25,Unknown,Jellis Craig Whitehorse,Single Strata Unit/Villa Unit/Townhouse,NRZ4,14/SP24918,Owner Occupied,https://rpp.corelogic.com.au/property/4-15-harrison-street-mitcham-vic-3132/11851943,propertyExport_20250901115240.csv,Jellis Craig,2024,5,202405,Harrison Street,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,0.9584804914383275,1.3179250260459563,44.0,21+
4 HIGHLAND AVENUE,MITCHAM,VIC,3132,HOUSE,4.0,2.0,2.0,646.0,155.0,1975.0,1293750.0,2024-05-25,Unknown,Other,Detached Dwelling,NRZ1,25/LP92676,Owner Occupied,https://rpp.corelogic.com.au/property/4-highland-avenue-mitcham-vic-3132/11852491,propertyExport_20250901115240.csv,Harcourts,2024,5,202405,Highland Avenue,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,1.3534535426744556,1.1467096660871492,49.0,21+
41 SOMERS STREET,MITCHAM,VIC,3132,HOUSE,4.0,2.0,2.0,965.0,128.0,1980.0,1425000.0,2024-05-25,Unknown,NOEL JONES - (BOX HILL & MITCHAM),Detached Dwelling,NRZ1,214/LP8809,Owner Occupied,https://rpp.corelogic.com.au/property/41-somers-street-mitcham-vic-3132/11858689,propertyExport_20250901115240.csv,Noel Jones,2024,5,202405,Somers Street,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,1.4907604238153425,1.1302865493304655,44.0,21+
6 WALKER AVENUE,MITCHAM,VIC,3132,HOUSE,4.0,3.0,1.0,1040.0,199.0,1950.0,1480000.0,2024-05-25,Unknown,Jellis Craig Whitehorse,Detached Dwelling,NRZ3,26/LP8289,Owner Occupied,https://rpp.corelogic.com.au/property/6-walker-avenue-mitcham-vic-3132/11859903,propertyExport_20250901115240.csv,Jellis Craig,2024,5,202405,Walker Avenue,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,1.5482985454362854,0.8896585313638343,74.0,21+
1/22 FORSTER STREET,MITCHAM,VIC,3132,UNIT,4.0,2.0,2.0,296.0,4.0,2016.0,1100000.0,2024-05-24,Unknown,Other,OYO Unit,GRZ2,1/PS734418,Owner Occupied,https://rpp.corelogic.com.au/property/1-22-forster-street-mitcham-vic-3132/17195821,propertyExport_20250901115240.csv,Ray White,2024,5,202405,Forster Street,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,1.1507624324188608,0.7724949099007358,8.0,6–20
46 DUDLEY STREET,MITCHAM,VIC,3132,HOUSE,3.0,1.0,2.0,694.0,128.0,1980.0,1045000.0,2024-05-23,Unknown,Other,Detached Dwelling,NRZ3,1/LP45707,Owner Occupied,https://rpp.corelogic.com.au/property/46-dudley-street-mitcham-vic-3132/11850306,propertyExport_20250901115240.csv,Ray White,2024,5,202405,Dudley Street,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,1.0932243107979178,0.9397674770209481,44.0,21+
40 PURCHES STREET,MITCHAM,VIC,3132,HOUSE,3.0,1.0,1.0,411.0,123.0,1965.0,983500.0,2024-05-22,Unknown,Jellis Craig Whitehorse,Detached Dwelling,NRZ1,1/PS632659,Owner Occupied,https://rpp.corelogic.com.au/property/40-purches-street-mitcham-vic-3132/11857041,propertyExport_20250901115240.csv,Jellis Craig,2024,5,202405,Purches Street,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,1.028886229349045,0.7922797340472298,59.0,21+
1 NORMAN STREET,MITCHAM,VIC,3132,HOUSE,3.0,1.0,1.0,948.0,123.0,1960.0,1120000.0,2024-05-21,Unknown,Barry Plant Manningham,Detached Dwelling,NRZ3,65/LP28014,Rented,https://rpp.corelogic.com.au/property/1-norman-street-mitcham-vic-3132/11855515,propertyExport_20250901115240.csv,Barry Plant,2024,5,202405,Norman Street,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,1.1716853857355674,1.468907015618374,64.0,21+
47 CREEK ROAD,MITCHAM,VIC,3132,HOUSE,3.0,3.0,2.0,423.0,234.0,2014.0,2000000.0,2024-05-18,Unknown,Other,Detached Dwelling,GRZ2,1/PS337985,Owner Occupied,https://rpp.corelogic.com.au/property/47-creek-road-mitcham-vic-3132/11849056,propertyExport_20250901115240.csv,Other,2024,5,202405,Creek Road,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,2.092295331670656,1.048702928642305,10.0,6–20
27 HARRISON STREET,MITCHAM,VIC,3132,Other,3.0,2.0,2.0,605.0,346.0,2021.0,1160000.0,2024-05-18,Unknown,Other,Vacant Residential Dwelling Site/Surveyed Lot,NRZ4,1/PS335383,Unknown,https://rpp.corelogic.com.au/property/27-harrison-street-mitcham-vic-3132/11852051,propertyExport_20250901115240.csv,Jellis Craig,2024,5,202405,Harrison Street,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,1.2135312923689805,1.3146823056198016,3.0,0–5
9 SALVANA AVENUE,MITCHAM,VIC,3132,HOUSE,3.0,2.0,2.0,604.0,128.0,1980.0,1056000.0,2024-05-18,Unknown,Unknown,Detached Dwelling,GRZ1,48/LP64367,Owner Occupied,https://rpp.corelogic.com.au/property/9-salvana-avenue-mitcham-vic-3132/11858266,propertyExport_20250901115240.csv,Other,2024,5,202405,Salvana Avenue,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,1.1047319351221063,0.9651904438406792,44.0,21+
4/469 MITCHAM ROAD,MITCHAM,VIC,3132,UNIT,2.0,1.0,1.0,281.0,85.0,1960.0,700000.0,2024-05-16,Unknown,Other,Single Strata Unit/Villa Unit/Townhouse,NRZ1,4/PS307223,Owner Occupied,https://rpp.corelogic.com.au/property/4-469-mitcham-road-mitcham-vic-3132/11854770,propertyExport_20250901115240.csv,Other,2024,5,202405,Mitcham Road,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,0.7323033660847296,0.7921701641290252,64.0,21+
6 SUNSHINE AVENUE,MITCHAM,VIC,3132,HOUSE,3.0,1.0,1.0,606.0,152.0,1960.0,1150000.0,2024-05-16,Unknown,Other,Detached Dwelling,NRZ3,47/LP27432,Owner Occupied,https://rpp.corelogic.com.au/property/6-sunshine-avenue-mitcham-vic-3132/11858905,propertyExport_20250901115240.csv,Woodards,2024,5,202405,Sunshine Avenue,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,1.2030698157106272,1.4040537725362017,64.0,21+
53 ROSSTREVOR CRESCENT,MITCHAM,VIC,3132,UNIT,2.0,2.0,2.0,312.0,128.0,1980.0,1050000.0,2024-05-14,Unknown,Jellis Craig Whitehorse,Detached Dwelling,NRZ3,2/PS447526,Owner Occupied,https://rpp.corelogic.com.au/property/53-rosstrevor-crescent-mitcham-vic-3132/11857939,propertyExport_20250901115240.csv,Jellis Craig,2024,5,202405,Rosstrevor Crescent,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,1.0984550491270944,1.3333333997482195,44.0,21+
1 FLINDERS STREET,MITCHAM,VIC,3132,HOUSE,3.0,2.0,2.0,608.0,224.0,1980.0,1080000.0,2024-05-13,Unknown,Barry Plant - Blackburn,Detached Dwelling,NRZ1,17/LP21039,Owner Occupied,https://rpp.corelogic.com.au/property/1-flinders-street-mitcham-vic-3132/11850818,propertyExport_20250901115240.csv,Barry Plant,2024,5,202405,Flinders Street,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,1.1298394791021542,,44.0,21+
54 MADISON BOULEVARD,MITCHAM,VIC,3132,UNIT,3.0,2.0,2.0,175.0,164.0,2003.0,986000.0,2024-05-13,Unknown,Barry Plant - Blackburn,OYO Subdivided Dwelling,NRZ3,59/PS449279,Rented,https://rpp.corelogic.com.au/property/54-madison-boulevard-mitcham-vic-3132/11853627,propertyExport_20250901115240.csv,Barry Plant,2024,5,202405,Madison Boulevard,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,1.0315015985136333,1.0706229737036335,21.0,21+
29A LINLITHGOW STREET,MITCHAM,VIC,3132,UNIT,4.0,2.0,2.0,505.0,312.0,2002.0,1571000.0,2024-05-11,Unknown,NOEL JONES - (BOX HILL & MITCHAM),Detached Dwelling,NRZ3,2/PS445897,Owner Occupied,https://rpp.corelogic.com.au/property/29a-linlithgow-street-mitcham-vic-3132/11853251,propertyExport_20250901115240.csv,Noel Jones,2024,5,202405,Linlithgow Street,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,1.6434979830273002,1.006589353214411,22.0,21+
2/40 LINLITHGOW STREET,MITCHAM,VIC,3132,UNIT,3.0,1.0,1.0,499.0,101.0,2002.0,908000.0,2024-05-11,Unknown,Other,Single Strata Unit/Villa Unit/Townhouse,NRZ3,2/PS622602,Rented,https://rpp.corelogic.com.au/property/2-40-linlithgow-street-mitcham-vic-3132/14865237,propertyExport_20250901115240.csv,Ray White,2024,5,202405,Linlithgow Street,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,0.9499020805784778,1.0414830655098666,22.0,21+
462 MITCHAM ROAD,MITCHAM,VIC,3132,HOUSE,5.0,2.0,2.0,1115.0,380.0,1930.0,1950000.0,2024-05-11,Unknown,Other,Detached Dwelling,NRZ1,LOTS 1-2 TP449371,Owner Occupied,https://rpp.corelogic.com.au/property/462-mitcham-road-mitcham-vic-3132/11854744,propertyExport_20250901115240.csv,Other,2024,5,202405,Mitcham Road,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,2.0399879483788896,0.7866284587249868,94.0,21+
35 CARWEEN AVENUE,MITCHAM,VIC,3132,HOUSE,4.0,2.0,2.0,1206.0,146.0,1970.0,1520000.0,2024-05-09,Unknown,Other,Detached Dwelling,NRZ3,21/LP9110,Owner Occupied,https://rpp.corelogic.com.au/property/35-carween-avenue-mitcham-vic-3132/11847797,propertyExport_20250901115240.csv,Ray White,2024,5,202405,Carween Avenue,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,1.5901444520696986,0.7950772454735914,54.0,21+
536 WHITEHORSE ROAD,MITCHAM,VIC,3132,COMMERCIAL: RETAIL BUILDING,3.0,2.0,3.0,233.0,110.0,1980.0,1600000.0,2024-05-09,Unknown,Other,Other,C1Z,1/TP592675,Unknown,https://rpp.corelogic.com.au/property/536-whitehorse-road-mitcham-vic-3132/11860639,propertyExport_20250901115240.csv,Other,2024,5,202405,Whitehorse Road,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,1.6738362653365249,1.6603488674447466,44.0,21+
5/21 BURNETT STREET,MITCHAM,VIC,3132,UNIT,3.0,2.0,2.0,407.0,161.0,2002.0,1225000.0,2024-05-08,Unknown,NOEL JONES - (BOX HILL & MITCHAM),Single Strata Unit/Villa Unit/Townhouse,NRZ4,5/PS447076,Rented,https://rpp.corelogic.com.au/property/5-21-burnett-street-mitcham-vic-3132/11847468,propertyExport_20250901115240.csv,Noel Jones,2024,5,202405,Burnett Street,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,1.2815308906482767,1.1370958177351667,22.0,21+
14A ROTHERWOOD AVENUE,MITCHAM,VIC,3132,UNIT,3.0,3.0,2.0,277.0,115.0,2013.0,1075000.0,2024-05-04,Unknown,Barry Plant - Blackburn,OYO Subdivided Dwelling,NRZ4,1/PS706343,Owner Occupied,https://rpp.corelogic.com.au/property/14a-rotherwood-avenue-mitcham-vic-3132/16730097,propertyExport_20250901115240.csv,Barry Plant,2024,5,202405,Rotherwood Avenue,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,1.1246087407729777,1.0516947926631544,11.0,6–20
23C VERNAL AVENUE,MITCHAM,VIC,3132,HOUSE,3.0,2.0,2.0,310.0,140.0,1980.0,0.0,2024-05-04,Nils And Wills,Unknown,Detached Dwelling (existing),NRZ3,2/PS409477,Owner Occupied,https://rpp.corelogic.com.au/property/23c-vernal-avenue-mitcham-vic-3132/11859679,propertyExport_20250901115240.csv,Other,2024,5,202405,Vernal Avenue,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,0.0,1.18061750836881,44.0,21+
25/25-39 COOK ROAD,MITCHAM,VIC,3132,COMMERCIAL,3.0,2.0,2.0,131.0,56.0,1980.0,671000.0,2024-05-02,Unknown,Other,Other,IN3Z,25/PS701357,Unknown,https://rpp.corelogic.com.au/property/25-25-39-cook-road-mitcham-vic-3132/16121903,propertyExport_20250901115240.csv,Other,2024,5,202405,Cook Road,91,0.49999999999999994,-0.8660254037844387,955888.0,27.0,455144.1563974751,931000.0,885500.0,943444.0,131.0,220.0,434.0,498581.37620186683,647864.5305664701,591083.9392506722,0.4593709923664122,0.00619789473684218,1125000.0,14.0,333933.0660213474,1125000.0,1132500.0,1181750.0,46.0,80.0,178.0,498253.32245235547,607423.4733454523,588408.1741983999,2.112033195020747,-0.04418011894647411,810000.0,13.0,431185.9271653423,810000.0,770500.0,770500.0,85.0,140.0,256.0,414114.74354133895,633857.5625910953,527882.9639377444,0.23664122137404586,-0.08448714326080808,0.701965083775505,1.0739048625925127,44.0,21+
