streetAddress,suburb,state,postcode,propertyType,bed,bath,car,landSizeM2,floorSizeM2,yearBuilt,salePrice,saleDate,saleType,agency,landUse,developmentZone,parcelDetails,ownerType,openInRpdata,sourceFile,agencyBrand,saleYear,saleMonth,saleYearMonth,street,month_id,saleMonth_sin,saleMonth_cos,suburb_price_median_current,count,std,suburb_price_median_3m,suburb_price_median_6m,suburb_price_median_12m,suburb_txn_count_3m,suburb_txn_count_6m,suburb_txn_count_12m,suburb_volatility_3m,suburb_volatility_6m,suburb_volatility_12m,suburb_delta_3m,suburb_delta_12m,suburb_house_price_median_current,suburb_house_txn_count_current,suburb_house_volatility_current,suburb_house_price_median_3m,suburb_house_price_median_6m,suburb_house_price_median_12m,suburb_house_txn_count_3m,suburb_house_txn_count_6m,suburb_house_txn_count_12m,suburb_house_volatility_3m,suburb_house_volatility_6m,suburb_house_volatility_12m,suburb_house_delta_3m,suburb_house_delta_12m,suburb_other_price_median_current,suburb_other_txn_count_current,suburb_other_volatility_current,suburb_other_price_median_3m,suburb_other_price_median_6m,suburb_other_price_median_12m,suburb_other_txn_count_3m,suburb_other_txn_count_6m,suburb_other_txn_count_12m,suburb_other_volatility_3m,suburb_other_volatility_6m,suburb_other_volatility_12m,suburb_other_delta_3m,suburb_other_delta_12m,rel_price_vs_suburb_median,rel_street_effect,propertyAge,propertyAgeBand
57 QUARRY ROAD,MITCHAM,VIC,3132,HOUSE,3.0,1.0,2.0,724.0,92.0,1950.0,900000.0,2025-08-22,Pending Settlement Advice,Barry Plant - Blackburn,Detached Dwelling,NRZ1,9/LP21039,Owner Occupied,https://rpp.corelogic.com.au/property/57-quarry-road-mitcham-vic-3132/11857340,propertyExport_20250901115240.csv,Barry Plant,2025,8,202508,Quarry Road,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,1.0404624277456647,0.908872588023495,75.0,21+
1/21 IAN CRESCENT,MITCHAM,VIC,3132,UNIT,3.0,2.0,2.0,294.0,159.0,2015.0,1250000.0,2025-08-21,Pending Settlement Advice,Other,Strata Unit or Flat  (Unspecified),NRZ3,1/PS737703,Owner Occupied,https://rpp.corelogic.com.au/property/1-21-ian-crescent-mitcham-vic-3132/17477690,propertyExport_20250901115240.csv,Barry Plant,2025,8,202508,Ian Crescent,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,1.4450867052023122,1.363925330545793,10.0,6–20
10 GILLIES STREET,MITCHAM,VIC,3132,HOUSE,4.0,2.0,2.0,728.0,199.0,2008.0,1614000.0,2025-08-16,Pending Settlement Advice,Barry Plant - Blackburn,Detached Dwelling,GRZ1,2/LP91182,Owner Occupied,https://rpp.corelogic.com.au/property/10-gillies-street-mitcham-vic-3132/11851153,propertyExport_20250901115240.csv,Barry Plant,2025,8,202508,Gillies Street,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,1.8658959537572255,1.123637937191327,17.0,6–20
4 MINTLEAF GROVE,MITCHAM,VIC,3132,UNIT,3.0,2.0,1.0,195.0,144.0,2000.0,850000.0,2025-08-12,Pending Settlement Advice,Barry Plant - Blackburn,Detached Dwelling (existing),NRZ3,131/PS449279,Owner Occupied,https://rpp.corelogic.com.au/property/4-mintleaf-grove-mitcham-vic-3132/11854133,propertyExport_20250901115240.csv,Barry Plant,2025,8,202508,Mintleaf Grove,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,0.9826589595375722,,25.0,21+
4/485 MITCHAM ROAD,MITCHAM,VIC,3132,UNIT,2.0,1.0,1.0,71.0,81.0,1970.0,615000.0,2025-08-12,Pending Settlement Advice,Other,Single Strata Unit/Villa Unit/Townhouse,NRZ1,4/RP763,Rented,https://rpp.corelogic.com.au/property/4-485-mitcham-road-mitcham-vic-3132/14760275,propertyExport_20250901115240.csv,Woodards,2025,8,202508,Mitcham Road,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,0.7109826589595376,0.7925468236529847,55.0,21+
530B/1 COLOMBO STREET,MITCHAM,VIC,3132,UNIT,2.0,2.0,1.0,3890.0,64.0,2012.0,415000.0,2025-08-11,Pending Settlement Advice,Barry Plant Blackburn,Strata Unit or Flat  (Unspecified),MUZ,522B/PS632398,Rented,https://rpp.corelogic.com.au/property/530b-1-colombo-street-mitcham-vic-3132/16204393,propertyExport_20250901115240.csv,Barry Plant,2025,8,202508,Colombo Street,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,0.4797687861271676,0.34241148189914966,13.0,6–20
30 FORSTER STREET,MITCHAM,VIC,3132,HOUSE,3.0,1.0,1.0,354.0,128.0,1980.0,825000.0,2025-08-09,Pending Settlement Advice,Barry Plant - Blackburn,Unknown,GRZ2,2/SP37516,Rented,https://rpp.corelogic.com.au/property/30-forster-street-mitcham-vic-3132/11850934,propertyExport_20250901115240.csv,Barry Plant,2025,8,202508,Forster Street,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,0.953757225433526,0.784076341766501,45.0,21+
8 HADDON COURT,MITCHAM,VIC,3132,HOUSE,4.0,2.0,2.0,651.0,124.0,1980.0,1440000.0,2025-08-09,Pending Settlement Advice,Jellis Craig - Whitehorse,Unknown,NRZ1,47/LP144292,Owner Occupied,https://rpp.corelogic.com.au/property/8-haddon-court-mitcham-vic-3132/11851564,propertyExport_20250901115240.csv,Jellis Craig,2025,8,202508,Haddon Court,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,1.6647398843930636,,45.0,21+
22 RUPERT STREET,MITCHAM,VIC,3132,HOUSE,3.0,1.0,1.0,395.0,106.0,1950.0,1144000.0,2025-08-09,Pending Settlement Advice,Noel Jones Whitehorse,Detached Dwelling (existing),NRZ3,1/PS545394,Owner Occupied,https://rpp.corelogic.com.au/property/22-rupert-street-mitcham-vic-3132/11858197,propertyExport_20250901115240.csv,Noel Jones,2025,8,202508,Rupert Street,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,1.322543352601156,0.8114895672891513,75.0,21+
4 SHIRLEY COURT,MITCHAM,VIC,3132,HOUSE,3.0,1.0,1.0,536.0,105.0,1980.0,1052000.0,2025-08-09,Pending Settlement Advice,Barry Plant - Blackburn,Detached Dwelling (existing),GRZ1,1/TP80663,Owner Occupied,https://rpp.corelogic.com.au/property/4-shirley-court-mitcham-vic-3132/11858486,propertyExport_20250901115240.csv,Barry Plant,2025,8,202508,Shirley Court,106,-0.8660254037844384,-0.5000000000000004,865000.0,17.0,293827.43034565274,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.29235649755,437791.16406001203,526402.1923617971,-0.1339173967459324,0.1061381074168799,1012500.0,6.0,480959.6310156047,1240000.0,1204000.0,1129621.75,34.0,81.0,185.0,412793.8289248173,482932.5743879679,655624.5966472421,-0.1331335616438356,0.01963746223564944,857000.0,11.0,131489.99270597813,843500.0,850250.0,849750.0,52.0,89.0,242.0,246787.5412937965,283700.5689357393,324625.30449049064,0.11443433029908978,0.1796291669849739,1.216184971098266,,45.0,21+
